No,Unit,Question,CorrectAnswer,Image,Explanation
1,ハードウェアの構成,OCR,郵便番号の読み取りのように、手書きや印刷された文字を光学的に読み取る装置。,, "手書きのハガキの住所を、機械が読み取ってデータにする時に使う技術だよ！"
2,ハードウェアの構成,OMR,マークシートなどの専用用紙の所定の位置に記入された、マークの有無を光学的に読み取る装置。,, "テストのマークシートを機械で自動採点する時に、塗りつぶした場所を見つける装置のことだね。"
3,ハードウェアの構成,磁気ディスク装置,磁性体を塗った薄い円盤（ディスク）を、高速回転させてデータを読み書きする装置。,, "パソコンの中で、磁石の力を使ってデータを記録する丸いお皿のような装置だよ。"
4,ハードウェアの構成,磁気ヘッド,磁気ディスク装置において、ディスク上のデータの読み書きを直接行う部分。,, "レコードプレーヤーの針のような役割で、回転するディスクのデータを直接読み書きする部分だよ。"
5,ハードウェアの構成,アクセスアーム,磁気ディスク装置において、磁気ヘッドをデータの読み書きする位置に移動させる部品。,, "読み書きをする『ヘッド』を、ディスクの好きな場所に移動させるための『腕』のような部品だよ。"
6,ハードウェアの構成,シリンダ,磁気ディスク装置において、同心円状の複数のトラックが、論理的な円筒状になっている記録単位。,, "複数のディスクを縦に貫く『円柱』のようなイメージで、データをまとめて管理する単位のことだよ。"
7,ハードウェアの構成,トラック,磁気ディスク装置の記録面で、同心円状の1周分の記憶場所。,, "陸上競技場のコース（1周分）のように、ディスクの上に並んでいるデータの通り道のことだよ。"
8,ハードウェアの構成,セクタ,磁気ディスク装置において、データの読み書きをする最小単位。,, "ディスクの1周（トラック）を、バームクーヘンのように細かく切り分けた、一番小さな部屋のことだよ。"
9,ハードウェアの構成,UPS,自然災害などでコンピュータシステムへの電源供給が止まった際、一定の時間、電源を供給する装置。,, "停電になっても、少しの間だけ電気を送り続けて、パソコンが急に消えないように守ってくれる装置だよ。"
10,ソフトウェアに関する知識,ドット,文字や画像（写真やイラストなど）を構成する、色情報を持たない小さな点。,, "画像を拡大していくと見える、一番小さな『点』のことだよ。"
11,ソフトウェアに関する知識,ピクセル（画素）,色調や階調などの色情報を持ったドットのこと。,, "『点』の中に色の情報が入ったもので、デジタル画像を構成する最小の粒のことだね。"
12,ソフトウェアに関する知識,解像度,ディスプレイの表示能力など、きめ細かさや画質の滑らかさを表す尺度で、dpiとppiの2つの指標がある。,, "画面がどれだけ『きめ細かいか』を表す数値だよ。これが高いほど、画像が滑らかで綺麗に見えるんだ。"
13,ソフトウェアに関する知識,RGB,光の三原色（赤：Red、緑：Green、青：Blue）のことで、ディスプレイ装置などは、3色の光を組み合わせて表現している。,, "テレビやスマホの画面で色を作る時に使う、光の三原色の頭文字をとった言葉だよ。"
14,ソフトウェアに関する知識,CMYK,色の三原色（藍：Cyan、赤紫：Magenta、黄：Yellow）に、黒（Keyplate）を加えたもので、カラー印刷はその4色の色料を組み合わせて表現している。,, "プリンタのインクなどで使われる色の組み合わせだよ。絵の具のように混ぜて色を作るんだ。"
15,ソフトウェアに関する知識,圧縮,データの内容を保ったまま、一定の手順にしたがってデータの記憶容量を小さくすること。,, "中身はそのままに、データのサイズをギュッと小さくして、持ち運びやすくすることだよ。"
16,ソフトウェアに関する知識,解凍,圧縮されたデータを元に戻すこと。,, "小さく固められたデータを、また使えるように元の大きさに戻す操作のことだね。"
17,ソフトウェアに関する知識,アーカイバ,複数のファイルを一つにまとめたり、元に戻したりするソフトウェア。,, "バラバラのファイルを一つにまとめたり、圧縮したものを元に戻したりしてくれる便利ツールのことだよ。"
18,ソフトウェアに関する知識,プラグアンドプレイ,コンピュータに周辺機器などを接続した際、ユーザが手動設定を行わなくても、OSが最適な設定を自動的に行う機能。,, "『さして（プラグ）、すぐに使う（プレイ）』という意味で、つなぐだけで自動で設定が終わる便利な機能だよ。"
19,ディレクトリとファイル,ルートディレクトリ,ファイルを階層構造で管理する場合、最上位にあるディレクトリ。,, "ファイルの入れ物の中で、一番てっぺん（根っこ）にあるディレクトリのことだよ。"
20,ディレクトリとファイル,サブディレクトリ,ファイルを階層構造で管理する場合、最上位ディレクトリの下位に作成されるすべてのディレクトリ。,, "フォルダの中に作られた、また別のフォルダのことだね。"
21,ディレクトリとファイル,拡張子,ファイルの種類を識別するために付ける、ファイル名の後ろに記述される3文字程度の文字列。,, "ファイル名の最後についている『.jpg』や『.txt』などの名前で、何の種類かを見分ける目印だよ。"
22,ディレクトリとファイル,テキストファイル,文字コードと改行やタブだけで構成された文書ファイルのことで、コンピュータの機種や使用環境に関係なく利用することができる。,, "文字の情報だけが入った、とってもシンプルなファイル形式のことだよ。"
23,ディレクトリとファイル,バイナリファイル,画像や動画、実行可能なプログラムファイルなど、文字として読み込むことのできない2進数形式のファイル。,, "文字ではなく、0と1の数字の並びでできている、画像や音楽などのデータファイルのことだよ。"
24,ディレクトリとファイル,BMP,圧縮しないで記録するファイル形式で、静出し画像を点の集まりとして保存する。,, "画像を『点の集まり』としてそのまま保存する形式だよ。データは大きくなるけど、加工しやすいんだ。"
25,ディレクトリとファイル,JPEG,フルカラーの静止画を、画質は劣化するが、圧縮して記録するファイル形式。,, "写真に向いている保存形式だよ。少し画質は落ちるけど、データをすごく小さくできるんだ。"
26,ディレクトリとファイル,GIF,インターネット上のイラストやアイコンなどの保存に使われているファイル形式で、256色までの画像を保存することができる。,, "使える色は少ないけど、背景を透明にしたり、パラパラ漫画みたいに動かしたりできる画像形式だよ。"
27,ディレクトリとファイル,PNG,透明度などの情報を持ち、フルカラーの静止画を、画質を落とさずに圧縮して保存するファイル形式。,, "綺麗なまま保存できて、背景を透明にすることもできる、ネットでよく使われる画像形式だよ。"
28,ディレクトリとファイル,MPEG,用途により数種類の規格があるが、動画や音声データを圧縮して保存したファイル。,, "動画を保存する時によく使われる形式だよ。映画やテレビなどの映像に使われているんだ。"
29,ディレクトリとファイル,MIDI,電子ピアノなどの電子楽器とパソコンを接続するための規格で、音楽情報を保存したファイル形式。,, "実際の音を録音するんじゃなくて、『どの音をどの長さで弾くか』という演奏情報を記録したデータだよ。"
30,ディレクトリとファイル,MP3,音声データを高音質に保ったまま、圧縮して記録できるファイル形式。,, "音楽を聴く時に一番よく使われる形式だね。音質を保ちつつ、データをすごく小さくできるんだ。"
31,ディレクトリとファイル,CSV,主にデータベースソフトや表計算ソフトの保存形式として使用されていて、データをコンマで区切って並べたファイル形式。,, "データをカンマ（,）で区切って並べた、Excelなどでよく使われる保存形式だよ。"
32,ディレクトリとファイル,PDF,電子文書の形式のことで、コンピュータの機種や使用環境に関係なく閲覧できる。,, "どんなパソコンやスマホでも、同じ見た目で書類を見ることができる、電子の紙のようなファイルだよ。"
33,ディレクトリとファイル,ZIP,世界的に広く利用されている、ファイル圧縮形式の一つ。,, "複数のファイルを一つにまとめて、サイズを小さくする時によく使われる有名な形式だよ。"
34,関連知識,ISO,工業関連分野の技術発展や規格の標準化を目的として設立された国際標準化機構。,, "世界中で同じルール（標準）を決めている国際的な組織だよ。ネジの大きさなどの基準も決めているんだ。"
35,関連知識,JIS,日本国内における工業製品などの標準規格。,, "日本全国で使いやすくするために決められた、製品のルールのことだよ。マークを見たことがあるかも！"
36,関連知識,ANSI,日本のJISに相当する、工業製品の標準化・規格化を行うアメリカの非営利団体。,, "アメリカ国内で決められた、製品の標準ルールのことだね。日本のJISと同じような役割だよ。"
37,関連知識,IEEE,本部は米国にあり、LANの標準規格を定めるなど、電気・電子・通信分野における世界規模の研究組織。,, "ネットのつなぎ方などの世界的なルールを決めている、カッコいい名前の研究組織だよ。"
38,関連知識,JISコード,JIS規格によって規定されている日本語の文字コード。,, "日本のルール（JIS）で決められた、日本語をコンピュータで扱うための番号表のことだよ。"
39,関連知識,ASCIIコード,米国規格協会が制定した、標準の文字コードで、半角の英数字、記号などの文字を7ビットで表現する。,, "世界で一番基本となる、英数字を扱うための文字コードだよ。全ての基本なんだ。"
40,関連知識,Unicode,世界各国の文字を統一した文字コードで表現するための規格。,, "世界中のいろいろな国の文字を、これ一つで全部表現できるようにした世界共通の文字コードだよ。"
41,関連知識,TCO（総保有コスト）,コンピュータシステムなどの設備の導入から、廃棄までの時間と費用の総額。,, "買う時の値段だけじゃなくて、使い始めてから捨てるまでにかかる『全部の費用』のことだよ。"
42,関連知識,イニシャルコスト,パソコンや机など、コンピュータシステムなどの設備を導入する際にかかる初期費用。,, "何かを始める時に一番最初にかかるお金のことだね。例えば、パソコンを買う代金のことだよ。"
43,関連知識,ランニングコスト,コピー用紙や保守点検費用など、コンピュータシステムなどの設備の運用・保守・管理するために必要となる費用。,, "使い始めてから、それを続けるためにずっとかかり続けるお金（電気代や用紙代など）のことだよ。"
44,関連知識,ワイルドカード,ファイルを検索する際に、任意の文字列や一つの文字の代用として、使うことができる特殊文字。,, "トランプのジョーカーみたいに、どんな文字の代わりにもなれる特別な記号（*や?）のことだよ。"
45,ネットワークの構成,アナログ回線,電話回線のように、音声やデータを連続性のある信号でやり取りする通信回線。,, "波のような連続した信号で声を送る、昔ながらの電話回線のことだよ。"
46,ネットワークの構成,ディジタル回線,文字や音声、画像などのデータを「ON」・「OFF」のように、2種類の電気信号の0と1で表し、データの送受信を行う通信回線。,, "0と1の数字に置き換えて、正確に大量のデータを送るための通信回線のことだね。"
47,ネットワークの構成,パケット,ディジタル通信においてデータを送受信する際に、データを一定のサイズに分割したもの。,, "データをネットで送る時にバラバラにした『小包』のようなものだよ。これを集めると元のデータになるんだ。"
48,ネットワークの構成,LAN,企業や学校などの建物や敷地など、特定の限られた範囲におけるネットワーク。,, "家の中や学校の中など、決まった建物の中だけでつながっているネットワークのことだよ。"
49,ネットワークの構成,有線LAN,コンピュータやプリンタなどを、通信ケーブルで接続したLAN。,, "線をグサッとさしてつなぐネットのことだよ。速くて安定しているのが特徴だね。"
50,ネットワークの構成,無線LAN,コンピュータネットワークにおいて、通信ケーブルを使わずに、無線通信を利用してデータの送受信を行うLANシステム。,, "線を使わずに、電波でデータをやり取りするネットのつなぎ方のことだよ。"
51,ネットワークの構成,Wi-Fi,無線LANにおいて、相互接続が保証された機器に与えられる名称。,, "みんなもよく知っている、電波で無線LANにつなげる技術の名前だね。"
52,ネットワークの構成,SSID,無線LANを利用するときにアクセスポイントに付ける混信を避けるための識別子。,, "Wi-Fiにつなぐ時に選ぶ、電波の発信源の名前のことだよ。"
53,ネットワークの構成,テザリング,スマートフォンなどの通信機器をモデムとしてインターネットに常時接続すること。,, "スマホを中継地点にして、外でもパソコンをネットにつなげるようにする便利な機能だよ。"
54,ネットワークの活用,ピアツーピア,接続された各コンピュータが互いに対等な関係で、サーバ専用のコンピュータを置かないネットワーク形態のこと。,, "特別な中心のパソコンを置かずに、みんなで対等にデータをおすそ分けし合う仕組みのことだよ。"
55,ネットワークの活用,クライアントサーバシステム,サーバ専用のコンピュータを置き、サーバとクライアントが互いに処理を分担して運用しているネットワーク形態のこと。,, "『お願いする側』と『サービスを提供する側』に役割を分担して、効率よく動く仕組みのことだよ。"
56,ネットワークの活用,ストリーミング,インターネット上の動画や音楽のデータを、すべてダウンロードする前に、受信しながら再生する方式。,, "動画を最後までダウンロードしなくても、見ながら少しずつ受け取って再生する方式のことだよ。"
57,ネットワークの活用,グループウェア,企業や学校などで、LANやインターネットを活用して情報共有やコミュニケーションを効率的に行うためのソフトウェア。,, "チームで予定を共有したり、掲示板で連絡し合ったりするための共有ツールのことだよ。"
58,権利の保護と管理,知的財産権,人間の知的創作活動によって生み出されたものを、創作した人の財産として保護する権利。,, "頭を使って作り出したアイデアや作品を、その人の財産として守ってあげる権利のことだよ。"
59,権利の保護と管理,産業財産権,知的財産権のうち、特許権、実用新案権、意匠権および、商標権の四つの総称。認可によって独占的に利用できる。,, "発明やデザイン、商品名など、お仕事（産業）に役立つアイデアを独占して使えるようにする権利だよ。"
60,権利の保護と管理,著作権,小説、音楽、美術などの著作物が、完成した時点で自動的に発生する権利。,, "自分が作ったお話や絵、音楽などが、誰かに勝手にコピーされないように守ってくれる権利だよ。"
61,権利の保護と管理,肖像権,自分の姿の写真、イラスト、動画などを、無断で公表されたり利用されたりすることがないように主張できる権利。,, "自分の顔や姿が勝手にネットに載せられたり、使われたりしないように断ることができる権利だよ。"
62,権利の保護と管理,著作権法,著作権の権利や、権利の存続期間などを定めて、著作者の権利の保護を図ることを目的とした法律。,, "作品を作った人の権利を守るために、ルールを細かく決めている法律のことだよ。"
63,権利の保護と管理,個人情報保護法,個人情報を取り扱う企業などに、安全管理措置を行うことを義務付け、情報の保護を図ることを目的とする法律。,, "みんなの名前や住所などの大切な情報を、企業がちゃんと守るように決めた法律のことだよ。"
64,権利の保護と管理,不正アクセス禁止法,利用する権限がない者が、他人のユーザIDやパスワードを利用して、コンピュータを不正利用することを禁止する法律。,, "人のIDやパスワードを勝手に使って、ネットサービスにログインしたらいけないよ、と決めた法律だよ。"
65,権利の保護と管理,フリーウェア,使用期間に関係なく、無料で利用できるソフトウェア。,, "ずっとタダで使わせてもらえる、お財布に優しいソフトウェアのことだね。"
66,権利の保護と管理,シェアウェア,一定の期間は無料で試用できるが、その後も続けて使用する場合は、料金を支払い使用権を取得するソフトウェア。,, "最初はタダでお試しできるけど、気に入ってずっと使うならお金を払ってね、というソフトウェアだよ。"
67,権利の保護と管理,サイトライセンス,学校や企業などの特定の場所において、一つのソフトウェアを複数のパソコンで利用できる契約。,, "学校や会社にある全部のパソコンに、まとめてソフトを入れていいですよ、という特別な契約だよ。"
68,権利の保護と管理,OSS,ソフトウェアのプログラムコードを無償で公開し、誰でもそのソフトウェアの利用、改良などが行えるソフトウェア。,, "中身のプログラムが公開されていて、誰でも自由に使ったり直したりできるソフトウェアのことだよ。"
69,セキュリティ管理,多要素認証,「知識」、「所有」、「生体」の要素のうち二つ以上組み合わせて認証を行う方法。,, "パスワード（知識）だけじゃなくて、指紋（生体）なども使って、より厳重に本人確認をする方法だよ。"
70,セキュリティ管理,多段階認証,第三者による不正ログインを防止するために、2回以上連続して認証を行う方法。,, "1回だけじゃなくて、スマホに送られてきた番号を入力するなど、何回かに分けて確認をすることだね。"
71,セキュリティ管理,ワンタイムパスワード,短時間のみ有効なその場限りの、一度しか使用できないパスワード。,, "その時だけしか使えない、1回限りのパスワードだよ。時間がたつと使えなくなるから安心なんだ。"
72,セキュリティ管理,シングルサインオン(SSO),1回の認証で、複数のソフトウェアやWebサービスなどを利用できる仕組み。,, "1回ログインするだけで、連携しているいろんなサービスがまとめて使えるようになる便利な仕組みだよ。"
73,セキュリティ管理,フルコントロール,ファイルやディレクトリの「変更」、「読み取り」、「実行」、「書き込み」、「削除」など、すべてのアクセス権限のこと。,, "ファイルに対して、中身を見たり、書き換えたり、消したり、何でもできる最強の権限のことだよ。"
74,セキュリティ管理,読み取り,ファイルやディレクトリ(フォルダ)への、参照だけのアクセス権限のこと。,, "中身を見ることはできるけど、勝手に書き換えたりはできない権限のことだね。"
75,セキュリティ管理,書き込み,ファイルやディレクトリ(フォルダ)を読み込んで、データを追加したり、書き込むアクセス権限のこと。,, "ファイルの中に新しい情報を書き込んだり、中身を書き換えたりできる権限のことだよ。"
76,セキュリティ管理,ファイアウォール,組織内のコンピュータネットワークに対する外部からの不正な侵入を防ぎ、安全を維持することを目的としたシステム。,, "ネットからの悪い侵入者を防ぐために、ネットワークの入り口にある『防火壁』のような守りのシステムだよ。"
77,セキュリティ管理,セキュリティホール,プログラムの設計ミスなどにより発生する、セキュリティ上の欠陥のこと。,, "プログラムのおかしなところで、悪い人が入り込めてしまう『穴』のような欠陥のことだよ。"
78,セキュリティ管理,キーロガー,キーボードから入力されたIDやパスワードなどの入力情報を盗み取るスパイウェア。,, "キーボードで打った文字を全部記録して、パスワードを盗み取る怖いウイルスのことだよ。"
79,セキュリティ管理,ランサムウェア,ファイルを勝手に暗号化するなどして対価として金銭を要求するコンピュータウイルス。,, "パソコンを勝手にロックして、元に戻してほしければお金を払え！と脅してくる悪質なウイルスだよ。"
80,セキュリティ管理,ガンブラー,Webサイトを改ざんし、他の有害サイトに閲覧者を自動的に誘導してウイルス感染を狙う攻撃手法。,, "普通のサイトを見ただけで、いつの間にかウイルスに感染するように仕向ける、巧妙な攻撃のことだよ。"
81,セキュリティ管理,暗号化,第三者に意味がわからないようにするために、ある規則にしたがってデータを変換すること。,, "中身をバラバラのめちゃくちゃな文字に変換して、持ち主にしか読めないようにすることだよ。"
82,セキュリティ管理,復号,ある規則にしたがって内容がわからないように変換したデータを、元のデータに戻すこと。,, "バラバラになった暗号を、また元の読める文章に戻す作業のことだね。"
83,セキュリティ管理,バックアップ,データの破損や紛失に備え、データを複製し、別の場所や媒体に保存しておくこと。,, "大事なデータが消えても大丈夫なように、あらかじめ別の場所に予備をコピーして取っておくことだよ。"
84,関連知識（プログラミング）,翻訳（コンパイル）,プログラム言語で記述されたプログラムを、機械語に変換すること。,, "プログラミング言語で書いたものを、コンピュータが読める『機械の言葉』に一括翻訳することだよ。"
85,関連知識（プログラミング）,機械語,コンピュータが直接理解することのできるプログラム言語。,, "0と1だけで書かれた、コンピュータが直接理解できる一番基本の言葉のことだよ。"
86,関連知識（プログラミング）,テストラン,作成されたプログラムに誤りがないかを検査するため、仮のデータを用いてプログラムを実行すること。,, "作ったプログラムが正しく動くか、試しに実行してみる『リハーサル』のことだね。"
87,関連知識（プログラミング）,文法エラー,原始プログラムの翻訳（コンパイル）時に発見される、プログラム記述の誤り。,, "書き方のルールを間違えていて、コンピュータが『意味が分からないよ！』と困っちゃうエラーだよ。"
88,関連知識（プログラミング）,論理エラー,プログラム記述に誤りはないが、実行結果が意図した結果と違う場合の誤り。,, "書き方は合っているけど、中身の考え方が間違っていて、変な答えが出ちゃうエラーのことだよ。"
89,関連知識（プログラミング）,デバッグ,プログラムの文法的な誤りや論理的な誤りを探し、その誤りを修正する作業。,, "プログラムの中の『虫（バグ）』を見つけて、退治して書き直す作業のことだね。"
90,関連知識（プログラミング）,言語プロセッサ,プログラム言語を機械語に変換するプログラムの総称。,, "人間が書いたプログラムを、機械語に通訳してくれるプログラムの仲間たちのことだよ。"
91,関連知識（プログラミング）,コンパイラ,C言語、Javaなどで作成されたプログラム言語を一括して機械語に翻訳する言語プロセッサ。,, "プログラム全体を最後まで一気に読み込んで、まとめて機械語に翻訳してくれる通訳さんのことだね。"
92,関連知識（プログラミング）,インタプリタ,プログラム言語で記述された命令文を、1行ずつ解釈し実行するもの。,, "プログラムを1行ずつ読みながら、その場ですぐに実行していく同時通訳さんのような仕組みだよ。"
93,関連知識（プログラミング）,アセンブラ,アセンブリ言語を機械語に翻訳（アセンブル）する言語プロセッサ。,, "機械語に近い特別な言葉を、機械語に直してくれる専用の通訳プログラムのことだよ。"
94,関連知識（プログラミング）,プログラム言語,人間に対し分かりやすい言葉で記述されており、翻訳されて機械語に変換される言語。,, "コンピュータにお願い事をするために、人間が書くための特別な言葉のことだよ。"
95,関連知識（プログラミング）,C言語,UNIXというOSの記述用に開発された言語で、汎用性・移植性が高いプログラム言語。,, "昔からある、すごく速くて何でも作れる、プログラミング界のスタンダードな言葉の一つだよ。"
96,関連知識（プログラミング）,Java,特定のOSに依存することのない、オブジェクト指向型のプログラム言語。,, "『1回書けば、どこでも動く』というスローガンで有名な、とても人気のある言語だよ。"
97,関連知識（プログラミング）,アセンブリ言語,機械語の命令と1対1で対応したプログラム言語。,, "機械語を少しだけ人間に読みやすくした、すごく機械に近いレベルの言葉のことだよ。"
98,関連知識（プログラミング）,簡易言語,命令や機能を制限して、簡単に記述・実行できるようにしたプログラム言語。,, "難しい知識がなくても、サクサクと簡単にプログラムが作れるように工夫された言語だよ。"
99,関連知識（プログラミング）,データチェック,入力データが正しく作成されているか調べること。,, "入れられたデータが変じゃないか、ルール通りかを確認する『持ち物検査』のようなものだね。"
100,関連知識（プログラミング）,シーケンスチェック,データが特定の項目で順番に並んでいるか確認する検査。,, "番号や名前が、ちゃんと順番通り（五十音順など）に並んでいるかチェックすることだよ。"
101,関連知識（プログラミング）,リミットチェック,データの値が、定められた範囲内にあるか確認する検査。,, "数字が大きすぎたり小さすぎたりしないか、『OKな範囲』に入っているか確認することだね。"
102,関連知識（プログラミング）,トータルチェック,コンピュータで求めた合計と手計算による合計が一致しているか確認する検査。,, "手計算の結果とコンピュータの合計を比べて、計算ミスがないか合わせる作業のことだよ。"
103,関連知識（プログラミング）,ニューメリックチェック,数値データを記憶すべき場所に、数値以外のデータが含まれていないか確認する検査。,, "数字を入れる場所に、うっかり文字が入ってないか確認する『数字専用チェック』のことだよ。"
104,関連知識（プログラミング）,チェックディジットチェック,本来のコードに、検査用数字（チェックディジット）を付加しそのコードに誤りがないか確認する検査。,, "番号の打ち間違いがないか確かめるために、最後に付けた特別な『確認用数字』で調べる方法だよ。"
105,関連知識（プログラミング）,グローバル変数,プログラムの最も外側で宣言され、どこからでも参照・更新することができる変数。,, "プログラムの中のどこからでもアクセスできる、みんなで使う『広場』のような変数だよ。"
106,関連知識（プログラミング）,ローカル変数,宣言されたプログラムの一部だけで有効となる変数。,, "決まったお部屋の中だけで使われる、自分専用のプライベートな変数のことだよ。"
